query_text,item_description,label
bluetooth speaker,wireless aluminum bluetooth speaker with non-slip grip,1
bluetooth speaker,compact plastic laptop stand with double-wall insulation,0
bluetooth speaker,insulated ceramic bluetooth speaker with double-wall insulation,1
bluetooth speaker,portable mesh yoga mat with non-slip grip,0
bluetooth speaker,sleek mesh bluetooth speaker with adjustable height,1
bluetooth speaker,foldable ceramic desk lamp with double-wall insulation,0
phone case,insulated stainless steel phone case with arch support,1
phone case,sleek mesh bluetooth speaker with quick-dry lining,0
phone case,black bamboo phone case with magnetic closure,1
phone case,blue aluminum wireless headphones with LED dimmer,0
phone case,black bamboo phone case with foldable design,1
phone case,compact bamboo desk lamp with shock absorption,0
phone case,insulated leather phone case with spill-proof lid,1
phone case,red aluminum running shoes with USB-C charging,0
phone case,black bamboo phone case with foldable design,1
phone case,insulated stainless steel yoga mat with magnetic closure,0
laptop stand,red silicone laptop stand with double-wall insulation,1
laptop stand,blue bamboo hiking boots with LED dimmer,0
laptop stand,white mesh laptop stand with adjustable height,1
laptop stand,blue ceramic phone case with adjustable height,0
laptop stand,lightweight plastic laptop stand with shock absorption,1
laptop stand,wireless stainless steel desk lamp with USB-C charging,0
laptop stand,black plastic laptop stand with adjustable height,1
laptop stand,red bamboo hiking boots with arch support,0
laptop stand,lightweight plastic laptop stand with shock absorption,1
laptop stand,ergonomic mesh wireless headphones with adjustable height,0
desk lamp,foldable ceramic desk lamp with double-wall insulation,1
desk lamp,ergonomic mesh bluetooth speaker with noise cancelling,0
desk lamp,compact bamboo desk lamp with shock absorption,1
desk lamp,green stainless steel running shoes with spill-proof lid,0
desk lamp,sleek aluminum desk lamp with shock absorption,1
desk lamp,black mesh yoga mat with shock absorption,0
desk lamp,white bamboo desk lamp with USB-C charging,1
desk lamp,portable bamboo hiking boots with foldable design,0
desk lamp,wireless stainless steel desk lamp with USB-C charging,1
desk lamp,insulated silicone laptop stand with adjustable height,0
yoga mat,sleek mesh yoga mat with LED dimmer,1
yoga mat,black bamboo coffee mug with noise cancelling,0
laptop stand,black plastic laptop stand with adjustable height,1
laptop stand,sleek silicone wireless headphones with spill-proof lid,0
running shoes,red aluminum running shoes with USB-C charging,1
running shoes,insulated stainless steel bluetooth speaker with foldable design,0
coffee mug,compact ceramic coffee mug with USB-C charging,1
coffee mug,blue silicone water bottle with foldable design,0
desk lamp,green plastic desk lamp with USB-C charging,1
desk lamp,wireless plastic hiking boots with non-slip grip,0
hiking boots,red bamboo hiking boots with arch support,1
hiking boots,ergonomic silicone coffee mug with LED dimmer,0
phone case,black plastic phone case with arch support,1
phone case,lightweight ceramic yoga mat with noise cancelling,0
laptop stand,red silicone laptop stand with double-wall insulation,1
laptop stand,black bamboo coffee mug with noise cancelling,0
coffee mug,portable leather coffee mug with LED dimmer,1
coffee mug,insulated plastic phone case with double-wall insulation,0
wireless headphones,portable stainless steel wireless headphones with shock absorption,1
wireless headphones,compact bamboo desk lamp with shock absorption,0
hiking boots,compact stainless steel hiking boots with magnetic closure,1
hiking boots,sleek plastic water bottle with non-slip grip,0
wireless headphones,black leather wireless headphones with quick-dry lining,1
wireless headphones,portable bamboo desk lamp with double-wall insulation,0
desk lamp,portable bamboo desk lamp with double-wall insulation,1
desk lamp,portable mesh running shoes with quick-dry lining,0
running shoes,ergonomic leather running shoes with magnetic closure,1
running shoes,black silicone yoga mat with magnetic closure,0
wireless headphones,blue silicone wireless headphones with USB-C charging,1
wireless headphones,portable bamboo desk lamp with double-wall insulation,0
water bottle,foldable silicone water bottle with adjustable height,1
water bottle,insulated silicone laptop stand with adjustable height,0
laptop stand,compact plastic laptop stand with double-wall insulation,1
laptop stand,blue leather phone case with quick-dry lining,0
phone case,wireless silicone phone case with USB-C charging,1
phone case,insulated bamboo bluetooth speaker with foldable design,0
hiking boots,lightweight silicone hiking boots with foldable design,1
hiking boots,green leather phone case with LED dimmer,0
bluetooth speaker,ergonomic leather bluetooth speaker with quick-dry lining,1
bluetooth speaker,insulated stainless steel laptop stand with arch support,0
hiking boots,wireless aluminum hiking boots with non-slip grip,1
hiking boots,insulated stainless steel phone case with arch support,0
wireless headphones,ergonomic mesh wireless headphones with adjustable height,1
wireless headphones,lightweight aluminum coffee mug with adjustable height,0
coffee mug,black bamboo coffee mug with noise cancelling,1
coffee mug,compact plastic laptop stand with double-wall insulation,0
bluetooth speaker,ergonomic mesh bluetooth speaker with noise cancelling,1
bluetooth speaker,portable silicone water bottle with magnetic closure,0
coffee mug,green ceramic coffee mug with double-wall insulation,1
coffee mug,lightweight aluminum laptop stand with magnetic closure,0
hiking boots,wireless aluminum hiking boots with non-slip grip,1
hiking boots,wireless stainless steel desk lamp with USB-C charging,0
running shoes,portable mesh running shoes with quick-dry lining,1
running shoes,lightweight mesh water bottle with LED dimmer,0
bluetooth speaker,foldable ceramic bluetooth speaker with LED dimmer,1
bluetooth speaker,insulated silicone laptop stand with adjustable height,0
bluetooth speaker,foldable leather bluetooth speaker with adjustable height,1
bluetooth speaker,compact silicone yoga mat with LED dimmer,0
running shoes,white leather running shoes with magnetic closure,1
running shoes,portable stainless steel wireless headphones with shock absorption,0
water bottle,lightweight aluminum water bottle with non-slip grip,1
water bottle,portable plastic desk lamp with double-wall insulation,0
phone case,black bamboo phone case with foldable design,1
phone case,portable leather coffee mug with LED dimmer,0
coffee mug,compact ceramic coffee mug with USB-C charging,1
coffee mug,wireless leather desk lamp with USB-C charging,0
wireless headphones,blue silicone wireless headphones with double-wall insulation,1
wireless headphones,sleek aluminum running shoes with noise cancelling,0
phone case,blue ceramic phone case with adjustable height,1
phone case,blue bamboo desk lamp with noise cancelling,0
running shoes,portable plastic running shoes with spill-proof lid,1
running shoes,sleek aluminum yoga mat with adjustable height,0
yoga mat,sleek bamboo yoga mat with noise cancelling,1
yoga mat,compact stainless steel hiking boots with magnetic closure,0
bluetooth speaker,compact ceramic bluetooth speaker with magnetic closure,1
bluetooth speaker,compact ceramic coffee mug with USB-C charging,0
desk lamp,green plastic desk lamp with USB-C charging,1
desk lamp,green silicone bluetooth speaker with USB-C charging,0
desk lamp,black aluminum desk lamp with non-slip grip,1
desk lamp,foldable aluminum laptop stand with magnetic closure,0
water bottle,wireless stainless steel water bottle with USB-C charging,1
water bottle,blue mesh bluetooth speaker with magnetic closure,0
water bottle,lightweight aluminum water bottle with LED dimmer,1
water bottle,foldable plastic yoga mat with noise cancelling,0
water bottle,portable silicone water bottle with magnetic closure,1
water bottle,black leather bluetooth speaker with double-wall insulation,0
running shoes,foldable ceramic running shoes with adjustable height,1
running shoes,sleek bamboo yoga mat with noise cancelling,0
laptop stand,insulated silicone laptop stand with adjustable height,1
laptop stand,foldable ceramic desk lamp with double-wall insulation,0
yoga mat,sleek mesh yoga mat with LED dimmer,1
yoga mat,compact stainless steel hiking boots with magnetic closure,0
wireless headphones,compact mesh wireless headphones with shock absorption,1
wireless headphones,foldable ceramic yoga mat with double-wall insulation,0
laptop stand,black aluminum laptop stand with shock absorption,1
laptop stand,wireless leather desk lamp with USB-C charging,0
laptop stand,black aluminum laptop stand with shock absorption,1
laptop stand,blue bamboo hiking boots with foldable design,0
water bottle,portable aluminum water bottle with spill-proof lid,1
water bottle,red bamboo hiking boots with arch support,0
yoga mat,lightweight ceramic yoga mat with noise cancelling,1
yoga mat,red bamboo wireless headphones with adjustable height,0
wireless headphones,red bamboo wireless headphones with adjustable height,1
wireless headphones,black aluminum water bottle with shock absorption,0
phone case,red stainless steel phone case with quick-dry lining,1
phone case,portable mesh running shoes with quick-dry lining,0
bluetooth speaker,insulated ceramic bluetooth speaker with double-wall insulation,1
bluetooth speaker,white silicone running shoes with foldable design,0
wireless headphones,wireless leather wireless headphones with spill-proof lid,1
wireless headphones,lightweight mesh water bottle with LED dimmer,0
phone case,black plastic phone case with arch support,1
phone case,sleek mesh bluetooth speaker with adjustable height,0
running shoes,red aluminum running shoes with USB-C charging,1
running shoes,red ceramic yoga mat with non-slip grip,0
yoga mat,black mesh yoga mat with shock absorption,1
yoga mat,black silicone running shoes with LED dimmer,0
desk lamp,sleek aluminum desk lamp with shock absorption,1
desk lamp,compact silicone yoga mat with LED dimmer,0
yoga mat,black silicone yoga mat with magnetic closure,1
yoga mat,blue silicone wireless headphones with USB-C charging,0
running shoes,black silicone running shoes with LED dimmer,1
running shoes,foldable silicone water bottle with adjustable height,0
coffee mug,black bamboo coffee mug with arch support,1
coffee mug,sleek mesh bluetooth speaker with adjustable height,0
bluetooth speaker,black mesh bluetooth speaker with non-slip grip,1
bluetooth speaker,portable mesh yoga mat with non-slip grip,0
yoga mat,insulated stainless steel yoga mat with magnetic closure,1
yoga mat,portable mesh coffee mug with LED dimmer,0
running shoes,compact plastic running shoes with shock absorption,1
running shoes,ergonomic leather bluetooth speaker with quick-dry lining,0
coffee mug,white plastic coffee mug with magnetic closure,1
coffee mug,insulated stainless steel yoga mat with magnetic closure,0
hiking boots,blue bamboo hiking boots with LED dimmer,1
hiking boots,green bamboo running shoes with non-slip grip,0
coffee mug,lightweight aluminum coffee mug with adjustable height,1
coffee mug,ergonomic stainless steel laptop stand with non-slip grip,0
water bottle,foldable mesh water bottle with non-slip grip,1
water bottle,ergonomic plastic coffee mug with foldable design,0
running shoes,blue plastic running shoes with adjustable height,1
running shoes,green aluminum phone case with arch support,0
water bottle,red ceramic water bottle with USB-C charging,1
water bottle,red ceramic hiking boots with non-slip grip,0
wireless headphones,blue aluminum wireless headphones with non-slip grip,1
wireless headphones,insulated plastic phone case with double-wall insulation,0
laptop stand,foldable aluminum laptop stand with magnetic closure,1
laptop stand,red aluminum running shoes with USB-C charging,0
water bottle,lightweight mesh water bottle with LED dimmer,1
water bottle,blue silicone wireless headphones with double-wall insulation,0
hiking boots,white leather hiking boots with USB-C charging,1
hiking boots,black silicone bluetooth speaker with arch support,0
bluetooth speaker,black mesh bluetooth speaker with non-slip grip,1
bluetooth speaker,green plastic desk lamp with USB-C charging,0
bluetooth speaker,sleek mesh bluetooth speaker with quick-dry lining,1
bluetooth speaker,white plastic coffee mug with magnetic closure,0
running shoes,white mesh running shoes with spill-proof lid,1
running shoes,foldable aluminum hiking boots with foldable design,0
laptop stand,insulated silicone laptop stand with adjustable height,1
laptop stand,white leather wireless headphones with USB-C charging,0
hiking boots,wireless mesh hiking boots with USB-C charging,1
hiking boots,green silicone bluetooth speaker with USB-C charging,0
hiking boots,portable bamboo hiking boots with foldable design,1
hiking boots,foldable ceramic desk lamp with double-wall insulation,0
bluetooth speaker,black silicone bluetooth speaker with arch support,1
bluetooth speaker,wireless aluminum phone case with LED dimmer,0
water bottle,white stainless steel water bottle with non-slip grip,1
water bottle,portable mesh yoga mat with non-slip grip,0
bluetooth speaker,green silicone bluetooth speaker with USB-C charging,1
bluetooth speaker,insulated plastic phone case with double-wall insulation,0
yoga mat,compact leather yoga mat with foldable design,1
yoga mat,ergonomic plastic wireless headphones with LED dimmer,0
laptop stand,black plastic laptop stand with adjustable height,1
laptop stand,foldable mesh water bottle with foldable design,0
coffee mug,portable mesh coffee mug with LED dimmer,1
coffee mug,ergonomic silicone bluetooth speaker with foldable design,0
phone case,ergonomic aluminum phone case with USB-C charging,1
phone case,red plastic coffee mug with magnetic closure,0
phone case,wireless silicone phone case with USB-C charging,1
phone case,foldable plastic yoga mat with noise cancelling,0
hiking boots,portable bamboo hiking boots with foldable design,1
hiking boots,portable plastic desk lamp with double-wall insulation,0
desk lamp,insulated leather desk lamp with adjustable height,1
desk lamp,compact stainless steel hiking boots with magnetic closure,0
water bottle,white mesh water bottle with shock absorption,1
water bottle,ergonomic silicone coffee mug with LED dimmer,0
running shoes,wireless ceramic running shoes with noise cancelling,1
running shoes,white stainless steel water bottle with USB-C charging,0
desk lamp,wireless stainless steel desk lamp with USB-C charging,1
desk lamp,white silicone hiking boots with foldable design,0
bluetooth speaker,wireless aluminum bluetooth speaker with non-slip grip,1
bluetooth speaker,red bamboo coffee mug with non-slip grip,0
phone case,black bamboo phone case with magnetic closure,1
phone case,ergonomic silicone coffee mug with LED dimmer,0
running shoes,red aluminum running shoes with USB-C charging,1
running shoes,blue leather phone case with quick-dry lining,0
yoga mat,insulated stainless steel yoga mat with magnetic closure,1
yoga mat,compact bamboo desk lamp with shock absorption,0
running shoes,compact ceramic running shoes with magnetic closure,1
running shoes,red ceramic water bottle with USB-C charging,0
hiking boots,white silicone hiking boots with foldable design,1
hiking boots,blue aluminum coffee mug with arch support,0
laptop stand,lightweight aluminum laptop stand with magnetic closure,1
laptop stand,portable stainless steel wireless headphones with shock absorption,0
desk lamp,wireless stainless steel desk lamp with USB-C charging,1
desk lamp,red silicone laptop stand with double-wall insulation,0
laptop stand,foldable stainless steel laptop stand with shock absorption,1
laptop stand,red ceramic yoga mat with non-slip grip,0
phone case,ergonomic aluminum phone case with USB-C charging,1
phone case,blue silicone water bottle with spill-proof lid,0
coffee mug,white plastic coffee mug with magnetic closure,1
coffee mug,compact bamboo desk lamp with shock absorption,0
coffee mug,white plastic coffee mug with magnetic closure,1
coffee mug,ergonomic aluminum laptop stand with spill-proof lid,0
water bottle,white mesh water bottle with shock absorption,1
water bottle,green stainless steel wireless headphones with non-slip grip,0
wireless headphones,black mesh wireless headphones with quick-dry lining,1
wireless headphones,blue bamboo hiking boots with foldable design,0
yoga mat,portable mesh yoga mat with non-slip grip,1
yoga mat,wireless aluminum phone case with LED dimmer,0
yoga mat,red ceramic yoga mat with non-slip grip,1
yoga mat,sleek plastic water bottle with non-slip grip,0
bluetooth speaker,ergonomic leather bluetooth speaker with quick-dry lining,1
bluetooth speaker,black mesh wireless headphones with quick-dry lining,0
phone case,foldable leather phone case with shock absorption,1
phone case,blue plastic running shoes with adjustable height,0
bluetooth speaker,blue leather bluetooth speaker with magnetic closure,1
bluetooth speaker,sleek aluminum running shoes with noise cancelling,0
bluetooth speaker,foldable ceramic bluetooth speaker with LED dimmer,1
bluetooth speaker,black silicone running shoes with LED dimmer,0
water bottle,blue silicone water bottle with spill-proof lid,1
water bottle,foldable leather phone case with shock absorption,0
laptop stand,lightweight aluminum laptop stand with magnetic closure,1
laptop stand,ergonomic silicone coffee mug with shock absorption,0
coffee mug,white plastic coffee mug with magnetic closure,1
coffee mug,ergonomic stainless steel phone case with non-slip grip,0
running shoes,white leather running shoes with magnetic closure,1
running shoes,green silicone bluetooth speaker with USB-C charging,0
bluetooth speaker,ergonomic mesh bluetooth speaker with noise cancelling,1
bluetooth speaker,compact plastic laptop stand with double-wall insulation,0
desk lamp,sleek aluminum desk lamp with shock absorption,1
desk lamp,white leather running shoes with magnetic closure,0
desk lamp,black aluminum desk lamp with non-slip grip,1
desk lamp,portable mesh running shoes with quick-dry lining,0
bluetooth speaker,portable plastic bluetooth speaker with magnetic closure,1
bluetooth speaker,insulated silicone laptop stand with noise cancelling,0
running shoes,green stainless steel running shoes with spill-proof lid,1
running shoes,green aluminum phone case with arch support,0
coffee mug,blue aluminum coffee mug with arch support,1
coffee mug,black silicone bluetooth speaker with arch support,0
bluetooth speaker,insulated ceramic bluetooth speaker with double-wall insulation,1
bluetooth speaker,red stainless steel phone case with quick-dry lining,0
hiking boots,wireless plastic hiking boots with non-slip grip,1
hiking boots,compact ceramic running shoes with magnetic closure,0
running shoes,black silicone running shoes with LED dimmer,1
running shoes,lightweight leather water bottle with noise cancelling,0
hiking boots,wireless aluminum hiking boots with non-slip grip,1
hiking boots,ergonomic leather running shoes with magnetic closure,0
coffee mug,insulated bamboo coffee mug with USB-C charging,1
coffee mug,portable mesh yoga mat with non-slip grip,0
yoga mat,foldable ceramic yoga mat with double-wall insulation,1
yoga mat,green aluminum hiking boots with USB-C charging,0
coffee mug,blue aluminum coffee mug with arch support,1
coffee mug,blue silicone wireless headphones with USB-C charging,0
yoga mat,compact leather yoga mat with foldable design,1
yoga mat,red aluminum hiking boots with foldable design,0
water bottle,portable aluminum water bottle with spill-proof lid,1
water bottle,sleek aluminum running shoes with double-wall insulation,0
desk lamp,portable plastic desk lamp with double-wall insulation,1
desk lamp,blue leather bluetooth speaker with magnetic closure,0
coffee mug,green ceramic coffee mug with double-wall insulation,1
coffee mug,portable aluminum water bottle with spill-proof lid,0
water bottle,red ceramic water bottle with USB-C charging,1
water bottle,green aluminum hiking boots with USB-C charging,0
running shoes,black silicone running shoes with LED dimmer,1
running shoes,black stainless steel desk lamp with LED dimmer,0
wireless headphones,blue silicone wireless headphones with USB-C charging,1
wireless headphones,portable plastic desk lamp with double-wall insulation,0
wireless headphones,black leather wireless headphones with quick-dry lining,1
wireless headphones,ergonomic stainless steel phone case with non-slip grip,0
hiking boots,white leather hiking boots with USB-C charging,1
hiking boots,wireless aluminum bluetooth speaker with non-slip grip,0
phone case,wireless aluminum phone case with LED dimmer,1
phone case,compact silicone yoga mat with LED dimmer,0
yoga mat,red ceramic yoga mat with non-slip grip,1
yoga mat,portable plastic desk lamp with double-wall insulation,0
water bottle,foldable mesh water bottle with quick-dry lining,1
water bottle,red mesh desk lamp with quick-dry lining,0
phone case,ergonomic aluminum phone case with USB-C charging,1
phone case,sleek mesh bluetooth speaker with quick-dry lining,0
water bottle,ergonomic silicone water bottle with non-slip grip,1
water bottle,green ceramic coffee mug with double-wall insulation,0
water bottle,blue silicone water bottle with foldable design,1
water bottle,lightweight aluminum laptop stand with magnetic closure,0
phone case,blue leather phone case with USB-C charging,1
phone case,black silicone bluetooth speaker with arch support,0
running shoes,green bamboo running shoes with non-slip grip,1
running shoes,ergonomic mesh bluetooth speaker with noise cancelling,0
phone case,ergonomic stainless steel phone case with quick-dry lining,1
phone case,black silicone wireless headphones with magnetic closure,0
wireless headphones,black silicone wireless headphones with magnetic closure,1
wireless headphones,white stainless steel water bottle with non-slip grip,0
running shoes,portable plastic running shoes with spill-proof lid,1
running shoes,sleek plastic water bottle with non-slip grip,0
coffee mug,portable mesh coffee mug with LED dimmer,1
coffee mug,lightweight aluminum laptop stand with magnetic closure,0
coffee mug,ergonomic silicone coffee mug with shock absorption,1
coffee mug,foldable stainless steel laptop stand with shock absorption,0
running shoes,portable mesh running shoes with quick-dry lining,1
running shoes,blue aluminum wireless headphones with LED dimmer,0
bluetooth speaker,white leather bluetooth speaker with LED dimmer,1
bluetooth speaker,portable leather coffee mug with LED dimmer,0
desk lamp,insulated leather desk lamp with adjustable height,1
desk lamp,black plastic phone case with arch support,0
laptop stand,ergonomic stainless steel laptop stand with non-slip grip,1
laptop stand,sleek mesh bluetooth speaker with adjustable height,0
wireless headphones,blue silicone wireless headphones with USB-C charging,1
wireless headphones,lightweight plastic laptop stand with shock absorption,0
water bottle,compact plastic water bottle with adjustable height,1
water bottle,black bamboo coffee mug with arch support,0
coffee mug,green plastic coffee mug with LED dimmer,1
coffee mug,red bamboo hiking boots with arch support,0
yoga mat,portable mesh yoga mat with non-slip grip,1
yoga mat,sleek leather water bottle with magnetic closure,0
phone case,red stainless steel phone case with quick-dry lining,1
phone case,black aluminum desk lamp with non-slip grip,0
water bottle,portable aluminum water bottle with spill-proof lid,1
water bottle,portable leather coffee mug with LED dimmer,0
coffee mug,lightweight leather coffee mug with foldable design,1
coffee mug,lightweight ceramic yoga mat with noise cancelling,0
running shoes,compact ceramic running shoes with magnetic closure,1
running shoes,white plastic coffee mug with magnetic closure,0
running shoes,wireless ceramic running shoes with noise cancelling,1
running shoes,foldable ceramic desk lamp with double-wall insulation,0
yoga mat,foldable plastic yoga mat with noise cancelling,1
yoga mat,lightweight ceramic laptop stand with double-wall insulation,0
running shoes,sleek aluminum running shoes with noise cancelling,1
running shoes,sleek silicone wireless headphones with spill-proof lid,0
phone case,ergonomic aluminum phone case with USB-C charging,1
phone case,compact leather wireless headphones with shock absorption,0
running shoes,green stainless steel running shoes with spill-proof lid,1
running shoes,lightweight ceramic laptop stand with double-wall insulation,0
hiking boots,blue bamboo hiking boots with LED dimmer,1
hiking boots,ergonomic aluminum laptop stand with spill-proof lid,0
desk lamp,portable plastic desk lamp with double-wall insulation,1
desk lamp,wireless mesh running shoes with LED dimmer,0
yoga mat,insulated stainless steel yoga mat with magnetic closure,1
yoga mat,blue silicone wireless headphones with USB-C charging,0
coffee mug,black bamboo coffee mug with arch support,1
coffee mug,red mesh desk lamp with quick-dry lining,0
bluetooth speaker,black mesh bluetooth speaker with non-slip grip,1
bluetooth speaker,red plastic coffee mug with magnetic closure,0
bluetooth speaker,ergonomic silicone bluetooth speaker with foldable design,1
bluetooth speaker,black aluminum laptop stand with shock absorption,0
desk lamp,black stainless steel desk lamp with LED dimmer,1
desk lamp,sleek aluminum water bottle with non-slip grip,0
desk lamp,wireless leather desk lamp with USB-C charging,1
desk lamp,foldable ceramic hiking boots with non-slip grip,0
coffee mug,white plastic coffee mug with magnetic closure,1
coffee mug,red aluminum hiking boots with foldable design,0
coffee mug,white plastic coffee mug with quick-dry lining,1
coffee mug,green plastic desk lamp with USB-C charging,0
yoga mat,black silicone yoga mat with magnetic closure,1
yoga mat,ergonomic aluminum phone case with USB-C charging,0
desk lamp,compact bamboo desk lamp with shock absorption,1
desk lamp,insulated ceramic water bottle with shock absorption,0
coffee mug,portable leather coffee mug with LED dimmer,1
coffee mug,portable stainless steel wireless headphones with shock absorption,0
hiking boots,compact stainless steel hiking boots with magnetic closure,1
hiking boots,red bamboo wireless headphones with adjustable height,0
bluetooth speaker,compact ceramic bluetooth speaker with magnetic closure,1
bluetooth speaker,portable bamboo desk lamp with double-wall insulation,0
yoga mat,lightweight ceramic yoga mat with noise cancelling,1
yoga mat,green ceramic coffee mug with double-wall insulation,0
running shoes,compact plastic running shoes with shock absorption,1
running shoes,compact mesh wireless headphones with shock absorption,0
phone case,wireless mesh phone case with LED dimmer,1
phone case,black aluminum laptop stand with shock absorption,0
bluetooth speaker,insulated ceramic bluetooth speaker with double-wall insulation,1
bluetooth speaker,sleek aluminum desk lamp with shock absorption,0
phone case,ergonomic aluminum phone case with USB-C charging,1
phone case,wireless aluminum hiking boots with non-slip grip,0
bluetooth speaker,black silicone bluetooth speaker with arch support,1
bluetooth speaker,wireless silicone water bottle with non-slip grip,0
hiking boots,compact stainless steel hiking boots with magnetic closure,1
hiking boots,green stainless steel running shoes with spill-proof lid,0
desk lamp,wireless leather desk lamp with USB-C charging,1
desk lamp,foldable ceramic yoga mat with double-wall insulation,0
laptop stand,foldable stainless steel laptop stand with shock absorption,1
laptop stand,lightweight mesh water bottle with LED dimmer,0
desk lamp,black stainless steel desk lamp with LED dimmer,1
desk lamp,insulated leather phone case with spill-proof lid,0
phone case,green leather phone case with LED dimmer,1
phone case,black silicone bluetooth speaker with arch support,0
wireless headphones,ergonomic mesh wireless headphones with adjustable height,1
wireless headphones,sleek mesh yoga mat with LED dimmer,0
bluetooth speaker,white leather bluetooth speaker with LED dimmer,1
bluetooth speaker,black aluminum laptop stand with shock absorption,0
bluetooth speaker,sleek mesh bluetooth speaker with adjustable height,1
bluetooth speaker,foldable ceramic running shoes with adjustable height,0
hiking boots,wireless mesh hiking boots with USB-C charging,1
hiking boots,green stainless steel wireless headphones with non-slip grip,0
hiking boots,blue bamboo hiking boots with LED dimmer,1
hiking boots,wireless stainless steel desk lamp with USB-C charging,0
running shoes,compact ceramic running shoes with magnetic closure,1
running shoes,red silicone laptop stand with double-wall insulation,0
running shoes,blue plastic running shoes with adjustable height,1
running shoes,insulated leather desk lamp with adjustable height,0
desk lamp,red mesh desk lamp with quick-dry lining,1
desk lamp,red leather phone case with non-slip grip,0
phone case,white mesh phone case with LED dimmer,1
phone case,blue plastic running shoes with adjustable height,0
water bottle,white stainless steel water bottle with non-slip grip,1
water bottle,lightweight ceramic yoga mat with noise cancelling,0
phone case,wireless aluminum phone case with LED dimmer,1
phone case,lightweight ceramic laptop stand with double-wall insulation,0
running shoes,ergonomic leather running shoes with magnetic closure,1
running shoes,portable leather coffee mug with LED dimmer,0
laptop stand,black plastic laptop stand with adjustable height,1
laptop stand,black stainless steel desk lamp with LED dimmer,0
hiking boots,compact stainless steel hiking boots with magnetic closure,1
hiking boots,foldable ceramic yoga mat with double-wall insulation,0
hiking boots,blue bamboo hiking boots with foldable design,1
hiking boots,black aluminum laptop stand with shock absorption,0
laptop stand,lightweight plastic laptop stand with shock absorption,1
laptop stand,foldable ceramic bluetooth speaker with LED dimmer,0
phone case,blue leather phone case with quick-dry lining,1
phone case,lightweight aluminum laptop stand with magnetic closure,0
